# phase_manifest.tsv — AUTHORITATIVE EXECUTION ORDER for PLAN-20260608-ISSUE1585
# All phases MUST execute in this order. The 'Phase' column (e.g., '00a', '02b') defines the sequence.
# Format: Phase\tID-Name\tDescription\tProduces\tRequirements
06	package-scaffold-stub	Package Build And Release Wiring	npm install lockfile, tsconfig references, bind-release-deps compatibility	lockfile updated, build passes	REQ-PKG-001, REQ-REL-001
06a	package-scaffold-stub-verification	Build Wiring Verification	Verify lockfile, workspace, build, no cycles	wiring verification	REQ-PKG-001
07	package-scaffold-tdd	Scaffold Build And Release TDD	Add release process test expectations, package metadata tests, forbidden dependency tests, anti-cycle assertions	failing release/build tests	REQ-REL-001, REQ-PKG-001
07a	package-scaffold-tdd-verification	Scaffold TDD Verification	Verify release tests fail for missing implementation and test real metadata text	test verification	REQ-TEST-001, REQ-REL-001
08	package-scaffold-impl	Scaffold Build And Release Implementation	Update packages/tools/package.json exports, dependencies (including zod-to-json-schema); npm install lockfile; npm/package-lock process guards; create public export manifest artifact	working release scaffold	REQ-PKG-001, REQ-REL-001
08a	package-scaffold-impl-verification	Scaffold Implementation Verification	Verify release tests pass, bind-release-deps includes tools, no cycles	scaffold verification	REQ-PKG-001, REQ-REL-001
09	tool-inventory-and-move-map	Complete Tool Inventory And Move Map	Regenerate complete per-file move map; classify every file exactly once; approved retained-file list; dependency relocation per dependency-relocation-final.md; exhaustive config/core replacement table verified; dependency version evidence captured	complete move map + package.json deps	REQ-MOVE-001, REQ-CLEAN-001, REQ-DEP-001, REQ-CONFIG-REPLACEMENT
09a	tool-inventory-and-move-map-verification	Move Map Verification	Verify every file classified exactly once with zero omissions or duplicates; verify package.json deps classificiation verification	REQ-MOVE-001, REQ-DEP-001
10	tool-move-tdd	Tool Move Behavioral Regression TDD	Write behavioral tests asserting ToolResult, filesystem state, provider formatted output, storage state, registry/scheduler execution, denial/error behavior; create pre-extraction characterization fixtures; shell/todo/key-storage tests assert observable behavior with toHaveBeenCalled only secondary and justified	behavioral regression tests + fixtures	REQ-TEST-001, REQ-MOVE-001, REQ-BEHAVIORAL-TDD
10a	tool-move-tdd-verification	Tool Move TDD Verification	Verify 11+ test groups, behavioral (no constructor/delegation-only tests; toHaveBeenCalled* secondary-only for shell/todo/key-storage), pre-extraction fixtures captured, test fixtures avoid core/providers imports	test verification	REQ-TEST-001, REQ-BEHAVIORAL-TDD, REQ-TEST-FIXTURE-COUPLING
11	tool-move-impl	Tool Move Implementation — Grouped Compile-Safe Migrations	Move files in compile-safe groups with mechanical move markers; each group includes moved files, interface updates, matching core adapter, constructor changes, registry factory updates, affected import rewrites, and verification; format diff check after each group	moved code + adapters	REQ-MOVE-001, REQ-DEP-001, REQ-MECHANICAL-MOVE-MARKERS, REQ-FORMAT-DIFF-CHECK
11a	tool-move-impl-verification	Tool Move Implementation Verification	Verify zero forbidden imports, behavioral tests pass, adapters exist, MCP client/manager remain core, ToolKeyStorage class stays in core	semantic verification	REQ-MOVE-001, REQ-DEP-001
12	core-adapters-and-registry-integration	Core Adapters And Registry Integration — Verify Mandatory Adapters	Verify all 14 mandatory + 1 conditional core adapters exist; fail and return to responsible P11 group for missing mandatory adapters; verify toolRegistryFactory integration and scheduler integration; verify no service bag	adapters verified + integrated	REQ-API-001, REQ-TEST-001
12a	core-adapters-and-registry-integration-verification	Core Integration Verification	Verify tools reachable through registry/scheduler, adapters narrow, no service bag, no remaining old ../tools/ imports for moved modules	integration verification	REQ-TEST-001, REQ-DEP-001
13	consumer-migration	Consumer Migration	Rewrite all @vybestack/llxprt-code-core/tools/* imports in providers; update core package.json exports; explicit CLI/direct consumer migration decision; add tools dependency to providers; exhaustive classification via all-tool-consumers-final.md	consumer imports migrated	REQ-DEP-001, REQ-TEST-001, REQ-CONSUMER-MIGRATION
13a	consumer-migration-verification	Consumer Migration Verification	Verify zero old deep imports in providers and CLI, provider formatting behavior unchanged, export maps correct, CLI uses core re-exports only	consumer verification	REQ-DEP-001, REQ-TEST-001
14	release-process	Release Process And Trusted Publish Updates	Update release.yml, release-process.test.js, build_sandbox.js (tools before core; toolsPackageDir and chmodSync), build-sandbox.yml (tools pack step), Dockerfile (tools first COPY/install, repo-shaped paths; no toolsPackageDir/chmodSync in Dockerfile), scripts/version.js (actualWorkspaces, canonical order), scripts/prepare-package.js (copyFiles), scripts/build.js (inspect), package-lock.json, packages/tools/package.json; create manual-trusted-publishing.md; npm/package-lock process guards; bind-release-deps.js canonical order requirement with test	release process updated	REQ-REL-001
14a	release-process-verification	Release Process Verification	Run release tests, bind-release-deps dry-run, verify manual trusted publish checklist, verify script coverage (version.js, prepare-package.js, build.js), verify Dockerfile install order (tools -> core -> providers -> cli), verify build-sandbox.yml includes tools pack step	release verification	REQ-REL-001
15	cleanup-no-shims	Cleanup And No Shims	Remove moved files from core, remove deep exports, verify no re-export shims, apply retained-file policy	cleanup	REQ-CLEAN-001, REQ-DEP-001
15a	cleanup-no-shims-verification	Cleanup Verification	Verify core tools dir matches approved list, no shims (scan restricted to core/tools/**), no duplicates, full move-map satisfaction, test fixture anti-coupling, format diff check	cleanup verification	REQ-CLEAN-001, REQ-NO-SHIM-SCOPE
16	full-verification	Full Verification Suite	Run full test/lint/typecheck/format/build + smoke test + format diff check + forbidden import scan + release checks + key storage regression + package metadata constraints + script coverage + test fixture anti-coupling + no-shim scan (core/tools/ scope)	verification outputs	REQ-CLEAN-001, REQ-TEST-001, REQ-FORMAT-DIFF-CHECK, REQ-NO-SHIM-SCOPE
16a	final-review	Final Semantic Review	Review issue intent, behavior preservation, package boundaries, release readiness, MCP ownership in core/tools/, key storage ownership, no shims, CLI migration decision final review report	REQ-PKG-001, REQ-DEP-001, REQ-REL-001
